Country,antenatal_care_4plus_%,continued_breastfeeding_%,gdp_per_capita_USD,female_upper_secondary_education_%,female_labour_force_participation_%,gdp_percentile
Mali,51.0,76.0,897.0,3.0,42.0,9.33
Malta,,,37882.0,55.0,57.0,86.01
Marshall Islands,77.0,36.0,6763.0,47.0,28.0,48.7
Mauritania,39.0,67.0,2149.0,3.0,28.0,23.32
Mauritius,,,11417.0,46.0,45.0,61.66
Mexico,94.0,39.0,13926.0,37.0,46.0,66.84
Micronesia (Federated States of),,,3992.0,59.0,,36.79
Monaco,,,240862.0,88.0,,100.0
Mongolia,94.0,64.0,5765.0,82.0,53.0,44.04
Montenegro,94.0,22.0,12017.0,55.0,46.0,62.69
Montserrat,,,,,,
Morocco,54.0,35.0,3672.0,,22.0,32.64
Mozambique,49.0,68.0,608.0,12.0,77.0,4.15
Myanmar,59.0,79.0,1188.0,59.0,46.0,12.44
Namibia,63.0,47.0,4743.0,32.0,56.0,40.41
Nauru,51.0,60.0,12060.0,33.0,,63.21
Nepal,81.0,94.0,1324.0,10.0,82.0,14.51
Netherlands (Kingdom of the),,,62537.0,72.0,64.0,93.78
New Zealand,,,48528.0,75.0,65.0,88.08
Nicaragua,88.0,53.0,2530.0,,50.0,27.98
Niger,37.0,79.0,618.0,2.0,73.0,4.66
Nigeria,52.0,58.0,1621.0,60.0,77.0,17.62
Niue,,,,,,
North Macedonia,96.0,30.0,8146.0,64.0,44.0,54.92
Norway,,,87962.0,78.0,62.0,97.41
Oman,74.0,,23295.0,72.0,36.0,77.2
Pakistan,52.0,63.0,1407.0,20.0,25.0,15.54
Palau,81.0,,14565.0,90.0,,67.88
Panama,88.0,41.0,18662.0,53.0,50.0,71.5
Papua New Guinea,49.0,79.0,2994.0,6.0,51.0,29.53
Paraguay,81.0,33.0,6260.0,47.0,59.0,47.15
Peru,95.0,72.0,7790.0,52.0,65.0,52.85
Philippines,83.0,57.0,3726.0,36.0,50.0,34.2
Poland,,,22113.0,87.0,52.0,73.58
Portugal,,,27275.0,50.0,56.0,78.76
Qatar,85.0,53.0,87480.0,75.0,57.0,96.89
Republic of Korea,97.0,,33121.0,74.0,56.0,82.9
Republic of Moldova,95.0,27.0,6651.0,74.0,71.0,48.19
Romania,70.0,,18419.0,68.0,42.0,70.98
Russian Federation,,,13817.0,92.0,56.0,66.32
Rwanda,47.0,90.0,1000.0,12.0,58.0,10.36
Saint Kitts and Nevis,,,22553.0,,,74.61
Saint Lucia,90.0,29.0,13980.0,44.0,69.0,67.36
Saint Vincent and the Grenadines,100.0,,10279.0,,57.0,59.59
Samoa,70.0,50.0,4139.0,43.0,31.0,37.31
San Marino,,,54982.0,58.0,,92.23
Sao Tome and Principe,84.0,46.0,2602.0,32.0,42.0,28.5
Saudi Arabia,80.0,,28895.0,59.0,22.0,79.27
Senegal,68.0,73.0,1746.0,5.0,38.0,20.21
Serbia,97.0,16.0,11361.0,71.0,52.0,61.14
Seychelles,,,17879.0,44.0,,69.95
Sierra Leone,79.0,54.0,433.0,7.0,58.0,2.07
Singapore,,,84734.0,81.0,62.0,96.37
Slovakia,,,24470.0,87.0,56.0,77.72
Slovenia,,,32164.0,83.0,54.0,81.87
Solomon Islands,69.0,71.0,2203.0,,82.0,23.83
Somalia,24.0,45.0,644.0,4.0,22.0,5.18
South Africa,76.0,34.0,6253.0,42.0,49.0,46.63
South Sudan,31.0,62.0,1072.0,11.0,71.0,11.92
Spain,,,32677.0,56.0,53.0,82.38
Sri Lanka,93.0,90.0,3828.0,65.0,32.0,35.75
State of Palestine,95.0,29.0,3368.0,49.0,19.0,31.09
Sudan,51.0,73.0,2272.0,1.0,14.0,24.87
Suriname,68.0,23.0,6069.0,26.0,39.0,46.11
Sweden,,,56305.0,85.0,64.0,92.75
Switzerland,,,99995.0,81.0,63.0,97.93
Syrian Arab Republic,64.0,45.0,421.0,19.0,15.0,1.55
Tajikistan,62.0,55.0,1189.0,76.0,29.0,12.95
Thailand,88.0,24.0,7172.0,39.0,61.0,51.3
Timor-Leste,83.0,49.0,1649.0,38.0,41.0,18.13
Togo,55.0,80.0,1013.0,6.0,69.0,10.88
Tokelau,,,,,,
Tonga,89.0,35.0,4682.0,70.0,51.0,39.9
Trinidad and Tobago,94.0,42.0,18333.0,54.0,50.0,70.47
Tunisia,79.0,38.0,3895.0,30.0,27.0,36.27
Türkiye,90.0,53.0,12986.0,34.0,34.0,64.77
Turkmenistan,98.0,45.0,9191.0,25.0,44.0,58.03
Turks and Caicos Islands,93.0,16.0,30438.0,75.0,,81.35
Tuvalu,60.0,29.0,5465.0,40.0,,43.01
Uganda,68.0,63.0,1014.0,32.0,75.0,11.4
Ukraine,87.0,31.0,5181.0,71.0,48.0,41.45
United Arab Emirates,,,52977.0,72.0,52.0,90.16
United Kingdom,,,48867.0,81.0,58.0,88.6
United Republic of Tanzania,65.0,72.0,1211.0,2.0,76.0,13.47
United States,97.0,12.0,81695.0,95.0,57.0,95.85
Uruguay,98.0,58.0,22565.0,38.0,57.0,75.13
Uzbekistan,90.0,65.0,2496.0,96.0,40.0,26.42
Vanuatu,65.0,55.0,3367.0,18.0,38.0,30.57
Venezuela (Bolivarian Republic of),84.0,,,61.0,42.0,
Viet Nam,88.0,44.0,4347.0,38.0,68.0,38.34
Yemen,32.0,63.0,533.0,8.0,6.0,3.63
Zambia,82.0,63.0,1369.0,30.0,54.0,15.03
Zimbabwe,72.0,50.0,1592.0,61.0,62.0,17.1
