TABLE 9. NUTRITION: BREASTFEEDING AND DIETS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,"Infant and Young Child Feeding (0−23 months)
2018–2024 (R)",,,,,,,,,,,,,,,,,,,,,,,
,Early initiation of breastfeeding (%),,Exclusive breastfeeding (<6 months) (%),,"Introduction to solid, semi-sold or soft foods (6−8 months)",,Continued breastfeeding (12–23 months) (%),,,,,,Percentage of children consuming (6–23 months) (%),,,,,,Minimum meal frequency (6–23 months) (%),,Minimum acceptable diet (6–23 months) (%),,Zero vegetable or fruit consumption (6–23 months) (%),
,,,,,,,All children,,Poorest 20%,,Richest 20%,,<=2 food groups (severe food poverty),,3−4 food groups (moderate food poverty),,At least 5 food groups (minimum dietary diversity),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,52,x,12,x,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Dominica,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Dominican Republic,42,,16,,90,,22,,30,,14,,8,,26,,66,,77,x,42,x,19,
Ecuador,49,,40,x,94,,52,,55,,51,,3,,18,,80,,92,,66,,10,
Egypt,33,,40,,75,,57,,58,x,43,x,22,,36,,42,,55,,26,,35,
El Salvador,34,,45,,90,,67,x,71,x,57,x,5,x,22,x,55,,87,x,65,x,16,x
Equatorial Guinea,-,,7,x,-,,31,x,47,x,34,x,-,,-,,-,,-,,-,,-,
Eritrea,93,x,69,x,44,x,86,x,-,,-,,-,,-,,-,,-,,-,,-,
Estonia,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Eswatini,47,,54,,95,,34,,27,,42,,19,,52,,30,,63,,19,,35,
Ethiopia,72,,59,,69,,81,,69,,77,,46,,41,,14,,55,,11,,69,
Fiji,63,,43,,95,,46,,53,,32,,8,,33,,59,,69,,41,,12,
Finland,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
France,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Gabon,70,,19,,82,,17,,23,,11,,27,,46,,26,,40,,13,,42,
Gambia,36,,54,,76,,74,,77,,68,,33,,44,,23,,51,,15,,57,
Georgia,33,,20,,90,,25,,29,,20,,8,,40,,53,,65,,28,,9,
Germany,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Ghana,58,,53,,69,,67,,82,,52,,21,,37,,42,,49,,23,,31,
Greece,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Grenada,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Guatemala,53,,59,,49,,66,,85,x,48,x,9,x,31,x,59,x,82,x,52,x,27,x
Guinea,26,,44,,59,,78,,84,,57,,54,,32,,11,,22,,4,,63,
Guinea-Bissau,46,,59,,64,,75,,80,,55,,53,,39,,8,,35,,3,,69,
Guyana,46,,29,,84,,52,,68,,33,,20,,40,,40,,61,x,36,x,33,
Haiti,48,,40,x,93,,56,,59,x,43,x,32,x,49,x,19,x,39,x,11,x,55,x
Holy See,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Honduras,51,,30,,92,,52,,63,,37,,10,,33,,57,,85,x,55,x,37,
Hungary,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Iceland,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
India,41,,64,,49,,80,,87,,71,,40,,36,,24,,35,,11,,52,
Indonesia,58,,51,x,83,,65,,70,,59,,14,,38,,48,,71,x,40,x,25,
Iran (Islamic Republic of),81,x,47,x,76,x,-,,-,,-,,-,,-,,84,x,-,,-,,-,
Iraq,32,,26,,85,,35,,47,,33,,14,,41,,45,,74,,34,,25,
Ireland,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Israel,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Italy,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Jamaica,65,x,33,,86,,43,,43,,46,,9,,39,,51,,61,,33,,25,
Japan,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Jordan,34,,24,,81,,24,,32,,19,,20,,38,,42,,60,,27,,33,
Kazakhstan,83,x,38,x,67,x,41,x,40,x,45,x,12,x,40,x,49,x,73,x,37,x,21,x
Kenya,60,,60,,87,,65,,72,,58,,16,,47,,37,,71,,31,,25,
Kiribati,46,,64,,90,,61,,70,,53,,35,,56,,9,,74,,8,,51,
Kosovo (UNSCR 1244),-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Kuwait,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Kyrgyzstan,73,,44,,88,,51,,53,,48,,9,,25,,66,,78,,51,,15,
Lao People's Democratic Republic,45,,50,,78,,37,,61,,14,,22,,37,,41,,69,x,26,x,31,
Latvia,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Lebanon,59,,23,,60,,27,,-,,-,,30,,44,,26,,-,,-,,36,
Lesotho,67,,61,,88,,40,,63,,26,,31,,54,,15,,58,,9,,38,
Liberia,67,,55,,45,,68,,73,,52,,43,,49,,9,,22,,3,,56,
Libya,29,x,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Liechtenstein,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Lithuania,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Luxembourg,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Madagascar,66,,54,,92,,73,,79,,81,,24,,55,,21,,69,,15,,25,
Malawi,60,,64,,88,,83,,88,,67,,26,,57,,17,,37,,9,,26,
Malaysia,64,,40,x,-,,51,,-,,-,,-,,-,,-,,-,,-,,-,
Maldives,67,x,63,x,97,x,73,x,79,x,59,x,6,x,23,x,71,x,68,x,50,x,15,x
Mali,46,,40,,38,,76,,79,,69,,42,,41,,17,,34,,9,,58,
Malta,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Marshall Islands,61,x,43,x,64,x,36,x,25,x,-,,29,x,36,x,34,x,50,x,15,x,46,x
Mauritania,56,,41,,55,,67,,74,,65,,38,,42,,20,,23,,8,,55,
Mauritius,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Mexico,63,,35,,88,,39,,52,x,16,x,9,x,32,x,59,x,75,,48,x,18,x
Micronesia (Federated States of),-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Monaco,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Mongolia,72,,51,,90,,64,,65,,51,,10,,51,,45,,66,,28,,38,
Montenegro,45,,20,,95,,22,,55,,20,,8,,26,,66,,87,,48,,6,
Montserrat,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Morocco,43,x,35,x,84,x,35,x,45,x,19,x,-,,-,,-,,-,,-,,-,
Mozambique,77,,56,,80,,68,,80,,41,,31,,55,,14,,26,,4,,42,
Myanmar,67,x,51,x,75,x,79,x,84,x,66,x,35,x,44,x,21,x,57,x,16,x,56,x
Namibia,71,x,48,x,80,x,47,x,55,x,27,x,41,x,35,x,25,x,38,x,12,x,52,x
Nauru,70,,53,,-,,60,,-,,-,,12,,38,,50,,46,,26,,35,
Nepal,55,,56,,85,,94,,96,,94,,8,,44,,48,,82,,43,,33,
Netherlands (Kingdom of the),-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
New Zealand,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Nicaragua,54,x,32,x,93,x,53,x,64,x,28,x,-,,-,,-,,-,,-,,-,
Niger,71,,25,,88,,79,,85,x,71,x,32,,54,,13,,63,,11,,45,
Nigeria,36,,29,,62,,58,,74,,37,,44,,42,,14,,40,,7,,53,
Niue,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
North Macedonia,10,,28,,97,,30,,37,,33,,11,,35,,54,,80,,43,,13,
Norway,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Oman,82,x,23,x,95,x,-,,-,,-,,-,,-,,-,,-,,-,,-,
Pakistan,20,,48,,65,,63,,67,,60,,38,,47,,15,,61,,13,,61,
Palau,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Panama,55,,22,x,83,,41,x,57,x,18,x,-,,-,,-,,60,x,-,,-,
Papua New Guinea,55,x,60,x,79,x,79,x,79,x,64,x,26,x,42,x,32,x,44,x,18,x,13,x
Paraguay,50,x,30,x,87,x,33,x,41,x,43,x,6,x,42,x,52,x,71,x,38,x,17,x
Peru,48,,70,,95,,72,,69,,73,,2,,13,,85,,-,,-,,5,
